toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
4246.01,291465998,PC,12.8860009,11434.9523427,5.137673,2459966.426061,12.0983571,122.295914,848.1501366,12.9,6126.0,1.11324,4.41,600.771,111.111271,-51.697365
4247.01,286153328,PC,4.3539599,41586.4865614,3.4390219,2460718.856842,23.0280318,451.4099178,1175.6079755,13.5597,5883.0,1.09523,4.39,631.768,123.912362,-50.620853
4248.01,190986054,PC,5.1442317,4310.0,5.856,2458561.897544,13.8382,1708.0,1790.0,11.548,5936.0,2.09,4.18,654.475,134.433236,-38.371148
4249.01,269568703,PC,6.772626,8606.4623591,4.592009,2459964.150498,19.1292,203.5541234,963.362475,13.551,4360.5,2.12,,,119.480728,-52.651034
425.01,169532369,FP,3.60364,6281.32,3.728,2458440.31143,14.1007,2312.7,1931.0,11.5781,6896.7,1.62,4.17,631.385,78.098877,-13.605635
4250.01,269249506,PC,4.0185922,6230.0,4.47,2459272.138098,13.9642,2154.02,1897.0,13.4202,7156.0,1.77,4.15,1432.78,118.800431,-48.703146
4251.01,192520375,FP,0.9109508,4720.0,1.473,2459278.486338,13.0531,18809.1,3262.0,12.5405,9421.0,1.79,4.31,1297.87,138.052275,-39.657928
4252.01,145038729,PC,2.6085023,10431.5892384,1.9206019,2459989.705326,13.8957666,1947.3076326,1694.2534985,12.6583,7302.0,1.2122999,4.49,631.32,131.72005,-51.191017
4253.01,145249556,PC,3.4192373,19414.5446339,3.37339,2459990.501406,,506.3361054,1209.8442751,12.9027,5658.5,,,884.15,131.969597,-50.470606
4254.01,92744152,PC,1.1462769,4058.2232173,2.7834681,2459963.44296,14.1198099,12500.9173208,2696.8402433,12.5347,6416.0,2.11854,3.9,955.191,128.927489,-53.82826
4255.01,82302240,FP,2.5057108,3170.0,1.962,2459964.80591,12.9673,2430.56,1956.0,12.5225,8330.0,2.26,4.04,1131.58,124.351447,-45.406543
