tic_id,Tmag,Teff,e_Teff,logg,e_logg,rad,e_rad,mass,e_mass,rho,e_rho,lum,MH,d,e_d,ebv,contratio,numcont,priority,disposition,gaiabp,gaiarp,plx,e_plx,Vmag,Jmag,Hmag,Kmag
371188886,10.3579,5547.0,130.914,4.28485,0.0825889,1.18093,0.0597739,0.98,0.131459,0.59505,0.135023,1.189531,,175.713,0.757,0.0439779,0.06140145,690,0.002275874,,11.2652,10.3126,5.6623,0.0243431,10.984,9.715,9.417,9.303
320506985,10.4925,5751.0,167.693,3.99521,0.0808456,1.68821,0.0864244,1.028,0.129024,0.213656,0.0484019,2.808794,,285.876,2.987,0.0419159,0.13941884,450,8.179964e-05,,11.3243,10.4412,3.46964,0.0362722,11.333,9.813,9.496,9.415
257052211,10.5702,7406.0,168.514,4.101,0.0797179,1.91636,0.0732286,1.69,0.273219,0.240136,0.0489718,9.953647,,466.499,7.5385,0.114486,0.156097814,499,0.0006683798,,11.006,10.4882,2.11542,0.0343692,10.893,10.075,10.017,9.935
178289267,11.7076,5593.0,124.494,4.45783,0.0804999,0.972604,0.050103,0.99,0.130149,1.07604,0.243789,0.833961368,,279.485,3.084,0.0215707,0.012990837,42,0.0007621621,,12.5621,11.6542,3.54953,0.0391794,12.333,11.071,10.738,10.707
257567854,11.185,6153.0,107.998,4.35436,0.0790577,1.19109,0.0504397,1.17,0.16388,0.692389,0.145932,1.83203042,0.26,317.652,5.5425,0.0245124,0.007853121,34,0.00082584616,,11.8941,11.1397,3.12015,0.0545003,11.99,10.634,10.392,10.318
175476629,12.8509,5374.0,130.259,4.55964,0.08701,0.838407,0.0485427,0.93,0.11685,1.57804,0.390281,0.5281965,,380.053,6.5265,0.0177456,0.0148811247,50,0.0004711305,,13.776,12.7963,2.60321,0.044831,13.583,12.157,11.764,11.689
1400770435,8.88797,6040.0,132.764,,,,,,,,,,,121.182,0.27,0.0147934,0.99726975,71,0.007542452,DUPLICATE,9.60371,8.84469,8.22315,0.018235,9.4101,,,
437444661,11.3692,5274.0,110.548,4.53357,0.0814499,0.851795,0.0481256,0.904,0.114729,1.46273,0.33114,0.5057374,-0.03,157.682,1.2985,0.198714,0.0929876044,956,0.0,,12.5502,11.3201,6.31369,0.051837,12.304,10.404,9.993,9.821
67309890,10.2108,6190.0,135.264,3.81749,0.0818475,2.225,0.102256,1.186,0.169052,0.107669,0.0239788,6.548158,,368.134,5.24,0.0610545,0.0566323362,476,6.918202e-05,,10.8991,10.1243,2.68825,0.0383653,10.884,9.594,9.349,9.27
239638934,10.5284,5633.0,,,,1.07747,,,,,,,,184.514,,,0.173478812,183,0.0014433891,,11.3711,10.4712,0.955515,0.996176,11.234,9.82,9.486,9.436
400323948,11.0897,4876.0,122.0,,,2.62415,,,,,,,,407.801,3.7995,0.0844776,,,,,12.3155,11.0401,2.42355,0.0226744,11.989,10.113,9.557,9.468
210337597,11.8096,4649.0,126.346,4.58515,0.0930993,0.725741,0.0542789,0.739,0.0862214,1.9333,0.544117,0.221664757,,151.084,0.809,0.015349,0.1462132,500,0.001070795,,13.0545,11.7522,6.59017,0.0351722,12.417,10.735,10.25,10.12
77202722,12.4035,5012.0,123.373,4.43351,0.086908,0.916939,0.0572864,0.832,0.0983412,1.0792,0.270953,0.477990657,,290.946,2.6685,0.0306936,0.01644594,139,0.0,,13.4905,12.3475,3.40855,0.0312849,13.21,11.546,11.094,11.004
195093356,11.8572,5707.0,134.565,4.50377,0.0779175,0.935,0.0465703,1.017,0.128845,1.24419,0.271872,0.8355057,,296.602,2.3845,0.0279056,0.894738257,1378,7.77963e-05,,12.6813,11.8026,3.34289,0.0269012,12.436,11.215,10.886,10.81
108645766,13.2312,3301.0,157.0,4.91483,0.00453132,0.309992,0.00925462,0.288049,0.0201765,9.66974,0.187679,0.0102796368,,56.336,0.1543,0.0,2.18349648,1006,0.0014905429,,16.0641,13.308,17.7219,0.0482584,15.62,11.585,11.013,10.76
278348461,9.87463,6509.0,117.198,4.17233,0.0865922,1.56954,0.0717588,1.336,0.217385,0.345534,0.0797771,3.98378372,0.08,249.325,2.774,0.019967,0.268621385,1275,0.000117957519,,10.4369,9.83013,3.98272,0.0442773,10.403,9.46,9.322,9.247
330468175,10.0146,8999.0,297.444,4.04907,0.0689207,2.35783,0.073083,2.27,0.32272,0.173176,0.0299565,32.84708,,533.615,8.445,0.160883,0.126842409,1474,8.203938e-05,,10.2547,9.9624,1.84572,0.0294257,10.144,9.753,9.66,9.664
300038935,9.0963,8557.0,151.664,4.25771,0.0719862,1.79626,0.0527789,2.13,0.318429,0.367511,0.0668226,15.5854969,,272.217,2.19,0.0816086,0.0147085283,160,0.00558790145,,9.30767,9.0607,3.64491,0.0293343,9.217,8.887,8.854,8.823
120826158,9.00568,6156.0,132.372,4.25196,0.0864041,1.34071,0.0619347,1.171,0.170474,0.48591,0.112137,2.32571387,,132.214,0.4945,0.0124645,0.0713719949,463,0.00323322322,,9.686,8.96475,7.53469,0.0280888,9.531,8.475,8.254,8.217
39699648,8.4594,6023.0,126.762,4.23995,0.081398,1.32944,0.0616834,1.12,0.143852,0.476666,0.104945,2.09547424,,99.451,0.36195,0.0,0.00442443369,42,0.00308515178,,9.16425,8.41941,10.0264,0.0363218,8.99,7.904,7.67,7.622
99224131,9.93225,6955.0,139.081,4.03562,0.0856432,1.96079,0.0800804,1.522,0.249355,0.201893,0.0455379,8.104865,,350.351,3.517,0.0354587,0.30609113,1436,8.77604762e-05,,10.4139,9.88829,2.82576,0.0284363,10.205,9.55,9.399,9.346
364408162,11.9067,,,,,,,,,,,,,3004.71,2513.08,0.858922,,,,,13.1334,11.8335,1.46477,1.23755,12.807,10.899,10.447,10.308
126171392,12.935,5932.0,131.243,4.25932,0.0797556,1.27668,0.0613769,1.08,0.141001,0.519007,0.113862,1.818304,,675.895,7.8055,0.0825625,0.234643891,590,0.0002597087,,13.7571,12.8767,1.45079,0.0169557,13.52,12.252,11.937,11.904
304042899,9.5369,6760.0,137.366,4.23073,0.0892503,1.5288,0.0662512,1.45,0.24339,0.405802,0.094969,4.39727736,,220.953,2.6095,0.0218824,0.3099255,4389,0.000187296479,,10.055,9.49541,4.498,0.0530372,9.873,9.14,8.957,8.88
191284318,10.374,6140.0,125.699,4.3159,0.0846755,1.24182,0.0629548,1.164,0.160159,0.607821,0.1405,1.97463262,0.12,226.637,4.388,0.0205374,0.227869913,133,0.00121958356,,11.0531,10.3265,4.38591,0.084741,10.911,9.85,9.623,9.553
457743020,12.9004,6951.0,136.46,4.18072,0.0854281,1.65804,0.0723618,1.52,0.245933,0.333473,0.0745439,5.781921,,997.825,17.9015,0.195334,0.243325129,1220,2.18103087e-05,,13.5707,12.8345,0.973561,0.0178415,13.427,12.341,12.078,12.058
1001477809,13.0949,,,,,,,,,,,,,673.984,10.164,0.0189028,,,,,,,1.45483,0.0222071,,,,
308050066,9.99028,6655.0,117.155,4.02116,0.0906193,1.91349,0.0902262,1.402,0.233681,0.20011,0.0479827,6.470528,-0.27,320.671,4.835,0.0385849,0.0101598883,64,0.000790804741,,10.4754,9.94985,3.09038,0.046658,10.238,9.613,9.458,9.395
299220166,14.3258,5549.0,25.0,4.50842,,0.912927,,0.98,,1.28801,,0.7119111,-0.22,843.695,13.668,0.0397195,,,,,15.1876,14.266,1.15656,0.019054,15.032,13.624,13.23,13.212
286355915,10.6479,6531.44,109.703,4.13711,0.0874493,1.64302,0.0721885,1.35,0.224253,0.304371,0.0682975,4.42606,-0.356,374.442,6.276,0.0373605,0.018513754,80,0.0006004229,,11.2779,10.5893,2.64252,0.0444175,11.094,10.099,9.88,9.81
287139872,12.7463,3652.0,157.0,4.71387,0.00897414,0.526987,0.0156406,0.524085,0.0202784,3.58098,0.180488,0.0445059,,103.021,0.3355,0.00675049,0.002007397,47,0.004244292,,14.9245,12.776,9.67798,0.0313663,14.62,11.373,10.775,10.545
85593751,10.9332,4926.0,136.738,4.51771,0.104576,0.82064,0.0690754,0.809,0.101693,1.46383,0.460769,0.357254565,0.19,124.73,2.078,0.0551801,0.0414610356,102,0.00130719645,,12.1013,10.885,7.99213,0.132509,11.567,10.015,9.56,9.421
137157546,12.0672,4939.0,201.761,4.55175,0.098018,0.790562,0.0512688,0.812,0.110491,1.64342,0.477416,0.33506006,,204.639,1.293,0.049987,0.03379097,181,0.00108874368,,13.2173,12.0166,4.85799,0.0306378,12.909,11.213,10.728,10.637
27318774,14.4394,5778.0,25.0,4.37783,,1.09304,,1.04,,0.79639,,1.19971049,0.14,1140.95,26.315,0.0475949,,,,,15.2573,14.3812,0.84784,0.0200574,15.069,13.782,13.479,13.433
101955023,10.8372,3261.0,157.0,5.02009,0.0181057,0.226407,0.00697427,0.195794,0.0201573,16.8706,0.182773,0.00522249,,12.613,0.007,0.0,0.121343426,762,0.0147022754,,13.7582,10.9217,79.2543,0.0437672,13.68,9.245,8.666,8.322
155005217,10.4216,9139.0,167.749,4.29,0.0756408,1.80236,0.0892764,2.31,0.340576,0.39454,0.0789553,20.415987,,516.299,21.2785,0.126441,0.04178694,220,0.000777793932,,10.5949,10.3641,1.91169,0.0790786,10.593,10.177,10.185,10.175
48188920,9.5937,6592.19,178.924,3.93781,0.100102,2.08204,0.121846,1.37,0.236979,0.151794,0.0430988,7.37548876,,292.83,2.091,0.0365291,0.94721,183,0.00130740448,,10.1689,9.54872,3.38623,0.0241974,10.074,9.092,8.916,8.877
25624952,13.222,6159.0,122.0,3.74678,,2.39737,,1.17,,0.0849138,,7.450877,,1402.62,42.06,0.183095,,,,,14.1016,13.1579,0.684214,0.0212129,13.949,12.466,12.203,12.124
407966340,6.4386,6337.87,109.191,4.22602,0.07529,1.42717,0.0557185,1.25,0.182089,0.43001,0.0872461,2.96089077,,45.6181,0.12505,0.0,0.000937589852,49,0.00421171449,,7.04124,6.40237,21.8924,0.0596263,6.91134,5.945,5.766,5.706
224601047,13.3972,,,,,,,,,,,,,506.754,63.5655,0.0242559,,,,SPLIT,13.9872,13.0198,1.97046,0.230945,13.796,12.284,11.871,11.787
425817867,12.0491,5443.0,125.717,4.54284,0.0835976,0.863922,0.0462512,0.95,0.128189,1.47333,0.342674,0.590196669,,274.96,3.0635,0.026781,0.06750036,162,0.0006227059,,12.9593,11.9927,3.60869,0.0402056,12.762,11.326,10.945,10.871
39926974,13.3455,3236.0,157.0,4.88282,0.00091591,0.341024,0.0103601,0.323833,0.0203379,8.16519,0.230804,0.0114894342,,62.9969,0.31965,0.0,0.00359212654,49,0.0,,16.3207,13.4326,15.8456,0.0799362,16.526,11.695,11.028,10.746
146261607,10.1749,9373.0,175.724,3.57237,0.105814,4.17963,0.425729,2.38,0.319348,0.032596,0.0104888,121.474327,,1219.08,119.46,0.0137317,0.0886921361,1208,2.89181535e-05,,10.1955,10.1381,0.798642,0.0765497,10.287,10.086,10.109,10.093
