tic_id,Teff,rad,mass,logg,Tmag,contratio
KIC5174492,8497.0,2.211,2.095,4.07,12.051,
KIC7177766,5267.0,2.935,1.42,3.655,12.055,
KIC10208477,6446.0,1.874,1.103,3.935,12.055,
KIC3836453,4955.0,0.735,0.771,4.592,12.057,
KIC9145861,4902.0,7.056,1.996,3.042,12.057,
KIC11200415,6591.0,1.646,1.045,4.024,12.057,
KIC12165063,5093.0,0.798,0.777,4.525,12.059,
KIC7116024,6134.0,1.496,1.131,4.142,12.06,
KIC2573108,6700.0,4.146,1.893,3.48,12.062,
KIC6859813,6200.0,1.045,1.047,4.422,12.068,
KIC10685175,8709.0,1.797,2.012,4.232,12.075,
KIC5019567,7537.0,2.145,1.703,4.007,12.08,
KIC3335816,6338.0,1.247,1.021,4.256,12.084,
KIC11820830,7238.0,1.568,1.491,4.221,12.087,
KIC4927738,6273.0,1.16,1.002,4.311,12.091,
KIC3347807,5792.0,2.183,1.19,3.835,12.092,
KIC5956787,4788.0,0.656,0.639,4.61,12.093,
KIC8955741,5962.0,2.028,1.143,3.882,12.099,
KIC7936194,5335.0,1.794,1.104,3.973,12.101,
KIC5038469,,,,,12.103,
KIC12645262,,,,,12.104,
KIC10191036,6238.0,1.049,1.022,4.407,12.107,
KIC3442054,6429.0,2.079,1.25,3.899,12.112,
KIC5632781,6047.0,2.3,1.021,3.724,12.113,
KIC5702637,7043.0,1.45,1.406,4.264,12.114,
KIC5276332,6131.0,1.312,1.109,4.248,12.117,
KIC6612973,6295.0,1.435,0.927,4.091,12.119,
KIC3327980,7563.0,2.638,1.938,3.883,12.119,
KIC4142768,5638.0,2.703,1.055,3.597,12.12,
KIC8906676,6258.0,2.111,1.237,3.882,12.121,
KIC7985733,3715.0,80.529,1.678,0.851,12.122,
KIC8453851,7523.0,2.206,1.719,3.986,12.133,
KIC10677763,,,,,12.138,
KIC10616656,6486.0,1.136,1.021,4.337,12.138,
KIC9221398,6399.0,1.289,1.246,4.312,12.14,
KIC6206751,6967.0,1.476,1.414,4.25,12.142,
KIC3555178,5618.0,0.811,0.884,4.566,12.143,
KIC9159301,8199.0,3.163,2.039,3.747,12.146,
KIC8262223,7832.0,2.779,1.93,3.836,12.146,
KIC6956136,6085.0,2.02,1.228,3.917,12.147,
KIC3970397,,,,,12.152,
KIC10199817,6596.0,1.44,0.895,4.073,12.152,
KIC10909274,6599.0,1.234,1.248,4.35,12.153,
KIC3127817,6425.0,1.718,1.179,4.04,12.155,
KIC10338624,7076.0,1.691,1.467,4.147,12.156,
KIC8953426,6234.0,1.159,1.097,4.351,12.156,
KIC5015027,5629.0,0.886,0.878,4.487,12.157,
KIC12253534,6098.0,1.59,1.152,4.097,12.159,
KIC3542573,6026.0,1.689,1.315,4.101,12.161,
KIC3248033,6178.0,1.58,1.16,4.106,12.161,
KIC8495232,5125.0,3.007,1.411,3.631,12.162,
KIC5556726,4898.0,4.928,1.443,3.212,12.173,
KIC8700558,6499.0,1.103,1.135,4.408,12.174,
KIC11601597,6124.0,1.315,0.991,4.196,12.174,
KIC7677005,6894.0,1.419,1.317,4.25,12.178,
KIC8248939,6283.0,1.091,1.019,4.372,12.179,
KIC8588982,4575.0,10.788,1.66,2.592,12.184,
KIC9357275,7742.0,2.094,1.687,4.024,12.186,
KIC8703491,6045.0,1.34,1.205,4.264,12.19,
KIC5652983,5134.0,3.107,1.438,3.611,12.193,
KIC9468717,6484.0,1.093,0.998,4.36,12.197,
KIC4060815,5055.0,3.733,1.429,3.443,12.203,
KIC5024482,6640.0,2.099,1.231,3.884,12.203,
KIC5544450,6615.0,1.574,1.343,4.173,12.209,
KIC9837659,,,,,12.209,
KIC4754831,6297.0,1.506,1.18,4.155,12.211,
KIC9592855,7498.0,2.274,1.735,3.964,12.216,
KIC9641041,6280.0,1.551,1.1,4.098,12.217,
KIC7539174,4916.0,10.801,1.587,2.572,12.218,
KIC6307083,5061.0,0.841,0.793,4.488,12.218,
KIC7874976,6137.0,1.187,0.993,4.286,12.218,
KIC10480952,6456.0,2.056,1.244,3.906,12.22,
KIC4729553,6300.0,1.404,1.106,4.188,12.221,
KIC8975368,6033.0,1.316,0.948,4.176,12.222,
KIC5986270,4965.0,8.834,2.079,2.863,12.224,
KIC9752982,5173.0,2.742,0.811,3.471,12.224,
KIC11855538,6306.0,1.874,0.862,3.828,12.227,
KIC9635529,6550.0,1.225,1.157,4.324,12.23,
KIC10004515,,,,,12.231,
KIC8957572,6742.0,3.138,1.752,3.688,12.232,
KIC7203858,7612.0,2.968,1.969,3.787,12.234,
KIC5307990,9456.0,2.022,2.213,4.172,12.234,
KIC12156805,5225.0,0.954,0.853,4.41,12.235,
KIC7974634,6443.0,1.248,1.198,4.325,12.236,
KIC8761550,5786.0,1.771,1.124,3.992,12.238,
KIC9291039,6017.0,1.21,1.064,4.3,12.239,
KIC9777062,7703.0,2.916,2.165,3.844,12.241,
KIC11817750,7199.0,1.95,1.571,4.055,12.25,
KIC10489539,6195.0,1.617,1.127,4.072,12.25,
KIC5949765,6395.0,1.394,1.047,4.17,12.254,
KIC4281895,5537.0,1.785,0.798,3.837,12.256,
KIC3240159,6395.0,2.012,1.183,3.904,12.261,
KIC6470149,5019.0,6.836,1.663,2.99,12.263,
KIC2142501,,,,,12.267,
KIC10488450,6958.0,1.529,1.344,4.195,12.269,
KIC6109688,7138.0,1.89,1.5,4.062,12.271,
KIC5265982,5058.0,3.117,1.114,3.497,12.275,
KIC10470616,6470.0,1.324,1.281,4.301,12.28,
KIC9906841,5026.0,16.891,3.319,2.504,12.282,
KIC8813404,5804.0,1.234,0.909,4.214,12.283,
KIC3755522,5870.0,0.985,0.994,4.449,12.289,
