toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
7364.01,236644754,PC,2.9257773,6858.0,1.448,2460584.089082,10.8746,391.193,1238.0,12.6976,5688.0,1.24,4.26,532.069,329.452183,35.402517
7577.01,12090836,PC,3.1969894,10968.3258056,3.4011226,2460682.669057,15.9727101,3943.4112784,2206.5546065,12.4733,6467.28,1.51431,4.19821,680.471,91.465705,-2.67652
7578.01,125260728,APC,5.3603536,7919.779969,3.4146038,2460679.53992,9.5878579,812.4205503,1487.2834958,12.403,5711.1226,,,506.154,105.513154,-8.745012
7579.01,95512789,PC,2.3277044,6497.6371863,1.330527,2460685.452931,8.7643227,1467.4517688,1722.7302848,13.0266,5450.3325,,,115.101,107.357573,-16.439339
7580.01,143168991,PC,19.5099226,2576.836516,3.8702181,2460668.361133,3.6560908,60.3125177,776.1903131,11.1773,4617.0,0.713218,4.59613,109.996,89.900121,-30.133045
7581.01,350934357,PC,226.2820777,541.8167026,9.4436248,2460460.703803,2.3551685,5.5580927,428.2453843,10.3394,6067.0,1.17598,4.35035,207.419,90.953631,-58.161024
7582.01,142914189,PC,7.6324317,3254.4247883,4.8633783,2460711.884009,10.7134494,2069.6389401,1879.1376995,12.1008,7021.0,2.07931,3.99256,1014.91,119.246449,-18.203885
7583.01,110110529,PC,0.7180306,1363.8641109,1.4487293,2460717.690064,3.9899565,14966.0496573,3079.867929,11.8332,6143.0,1.05121,4.45914,373.268,113.918271,-24.708674
7584.01,57047535,PC,18.6883288,9017.6138138,3.7087607,2460739.851313,8.7528131,66.5639105,795.5922583,11.7387,5567.0,0.938961,4.484,261.346,127.674499,-35.153406
7585.01,100474173,PC,8.933107,1987.8147955,7.9630519,2460709.955051,10.6909668,4150.3689549,2235.3924177,12.0045,7004.0,2.6472,3.78001,1141.08,109.435106,-22.834505
7586.01,142711195,PC,10.449811,4837.9211194,5.5123056,2460713.383204,10.2541059,1303.6006535,1674.055396,12.572,6899.0,1.61081,4.20007,935.74,119.014337,-19.48609
