tid,pl_orbper,label,pl_trandep,pl_tranmid
52368076,4.6517186,planet,978.0,2460206.744249
233059608,1.4415044,false_positive,547.3172736,2458683.642967
233684822,4.6756655,false_positive,738.0,2460658.633557
237222864,10.288886,planet,854.0,2460646.544681
274762761,1.0332441,false_positive,26111.5081972,2458683.947476
278348461,5.4526479,planet,7750.0,2459820.977365
288735205,3.4779776,planet,27021.6932424,2459764.874089
70440470,3.0354017,planet,16196.2158157,2458326.730861
355867695,3.1274634,planet,1331.83693,2459634.760516
424865156,2.2047452,planet,6872.0,2460558.800568
467179528,10.8948421,planet,3168.3853584,2459649.751299
158561566,6.7900981,planet,2158.1733568,2459425.412816
142394656,8.157721,planet,10273.0,2460359.607231
198241702,4.2529641,planet,758.584999,2458686.60881
234523599,3.7955178,planet,52278.9940979,2458325.650603
237200747,14.3034613,false_positive,48840.0,2459695.445887
286923464,6.1349783,planet,3860.0,2459657.449461
417948359,3.3159772,planet,2770.0,2459661.401357
445859771,4.6313014,planet,4860.0,2459684.920137
13499636,11.3246821,false_positive,1937.5829721,2458714.596964
269701147,28.580474,planet,1081.396943,2460612.35145
234994474,1.4015183,planet,593.7540922,2458326.034032
233681149,8.5865509,false_positive,1754.7731836,2458683.690471
233390838,6.4474918,false_positive,9270.0,2459820.572994
256621916,1.4136455,false_positive,2427.0,2460352.578093
358631536,3.4040139,false_positive,935.0,2460552.940939
1400770435,13.7432169,false_positive,5046.0,2460637.867682
219852882,5.5025577,planet,844.7022676,2459766.224945
229747848,0.8474218,planet,424.3932848,2459664.026959
229770036,2.14056,false_positive,355.8315803,2458684.50173
267263253,4.1269046,planet,10831.0,2460174.637067
201248411,0.980972,planet,6178.392421,2460205.646862
417676622,5.3987355,planet,352.0,2460551.373546
199688472,1.4412175,false_positive,12927.0,2460351.142333
219015370,3.9152737,planet,3350.0,2459663.161776
219852584,3.1968838,planet,7958.980656,2459913.379043
219854185,3.9443668,planet,6732.488454,2459766.962599
229536616,3.93034,false_positive,9724.58,2458686.93866
237104103,4.5371361,planet,4199.7558754,2459764.419877
258777134,5.929405,false_positive,16410.0,2459599.130762
263003176,14.3392144,planet,392.6346872,2458336.557651
293687315,2.8716983,planet,8568.0,2460419.967332
356867115,6.0964074,planet,1142.4891745,2459710.294209
185405474,1.56029,false_positive,1690.0,2458684.13635
186000935,8.8735214,false_positive,1949.0,2460552.790682
232679662,7.8513774,false_positive,21571.0,2460650.647652
233735068,7.6869063,false_positive,4500.0,2459852.045455
277014266,1.3797091,false_positive,1320.0,2459446.290468
287190564,1.49861,false_positive,2188.61,2458684.76284
294179389,2.6796,false_positive,7590.0,2458685.4705
405904232,11.0765063,false_positive,4400.0,2460549.082741
11111899,0.6193401,false_positive,1853.0,2460557.800973
136848581,2.6400663,false_positive,1328.0,2460365.8222
137284119,2.5778717,false_positive,1010.0,2459820.409101
15565627,3.80509,false_positive,1280.0,2458684.06072
165523947,2.99041,false_positive,1290.0,2458711.85776
167098530,0.890967,false_positive,1100.0,2459823.85374
89020549,2.1096805,planet,1309.7297126,2458326.904918
195199644,1.19888,false_positive,1169.03,2458712.25971
256886630,2.03905,false_positive,430.0,2458713.20059
266688542,2.9424142,false_positive,1400.0,2460389.230214
274942910,1.0793011,false_positive,1562.0,2460393.552555
275111900,8.0428575,false_positive,18730.0,2459823.091016
330332501,4.0157492,false_positive,1150.0,2459819.789519
345996087,2.01976,false_positive,3963.85,2458712.72322
357457104,1.748054,false_positive,670.0,2459852.148977
387664866,2.65646,false_positive,773.369,2458712.51758
387664868,2.65688,false_positive,1959.88,2458712.51369
395171208,4.7201912,planet,6710.0,2459847.968306
42123111,4.03349,false_positive,1530.0,2458686.4671
89759617,3.3295394,false_positive,2620.0,2459817.659426
92783821,3.8615978,false_positive,1020.0,2459442.068334
160708862,3.3448312,planet,13626.0,2460087.939719
260128333,95.174,planet,2600.061605,2459238.21949
328750515,2.3359622,false_positive,3066.2492749,2459825.344785
387834907,12.64001,false_positive,9458.38,2458739.88011
231736113,10.5739824,planet,5460.0,2459218.231402
69747919,9.9783319,planet,179.2248456,2459085.39112
364186197,4.4247042,planet,2447.0,2460661.181674
403224672,1.0082361,planet,228.0,2460178.671412
199444169,1.2168732,planet,1240.0,2459850.737058
116483514,1.4520486,planet,393.0,2460447.085367
158025009,1.0697621,planet,376.0,2460423.263435
279177746,4.4350025,false_positive,2085.0,2460551.553803
365683032,1.4287976,false_positive,1768.0,2460556.601695
357972447,0.33759,false_positive,529.0,2460393.796914
275501623,1.67346,false_positive,390.0,2458739.59911
416624606,2.5152549,false_positive,1870.0,2459821.804188
410153553,0.4629304,planet,4507.3268775,2458325.724125
330468175,0.70902,false_positive,570.0,2458739.28
230017325,9.6926509,false_positive,1393.0,2460649.216907
367099243,1.8286961,false_positive,7283.0,2460421.898853
120602501,14.8626982,false_positive,8264.2193919,2459830.772785
129539786,2.0881134,false_positive,730.0,2459850.248203
136971594,1.25562,false_positive,290.0,2458711.81369
155005217,7.6047417,false_positive,1200.0,2459867.206961
176957796,4.8173797,false_positive,1800.0,2459199.440315
155114483,5.2651271,false_positive,3450.0,2459877.368408
164150539,6.1600888,false_positive,1120.0,2459850.543759
176899385,3.8529998,planet,8913.0,2460605.038813
190430205,1.06884,false_positive,470.0,2458712.06866
190442486,5.4561177,false_positive,1360.0,2459850.13104
190743990,1.7380504,false_positive,956.0,2460582.487167
240613164,1.99143,false_positive,16745.8,2458712.05324
249812036,5.7785318,false_positive,4990.0,2460561.395306
